FIPS,State,County,REDEMP_SNAPS12,REDEMP_SNAPS17,PCH_REDEMP_SNAPS_12_17,PCT_SNAP12*,PCT_SNAP17*,PCH_SNAP_12_17*,PC_SNAPBEN12,PC_SNAPBEN17,PCH_PC_SNAPBEN_12_17,SNAP_PART_RATE11*,SNAP_PART_RATE16*,SNAP_OAPP09*,SNAP_OAPP16*,SNAP_CAP09*,SNAP_CAP16*,SNAP_BBCE09*,SNAP_BBCE16*,SNAP_REPORTSIMPLE09*,SNAP_REPORTSIMPLE16*,PCT_NSLP12*,PCT_NSLP17*,PCH_NSLP_12_17*,PCT_FREE_LUNCH10,PCT_FREE_LUNCH15,PCT_REDUCED_LUNCH10,PCT_REDUCED_LUNCH15,PCT_SBP12*,PCT_SBP17*,PCH_SBP_12_17*,PCT_SFSP12*,PCT_SFSP17*,PCH_SFSP_12_17*,PC_WIC_REDEMP11,PC_WIC_REDEMP16,PCH_PC_WIC_REDEMP_11_16,REDEMP_WICS11,REDEMP_WICS16,PCH_REDEMP_WICS_11_16,PCT_WIC12*,PCT_WIC17*,PCH_WIC_12_17*,PCT_WICINFANTCHILD14*,PCT_WICINFANTCHILD16*,PCH_WICINFANTCHILD_14_16*,PCT_WICWOMEN14*,PCT_WICWOMEN16*,PCH_WICWOMEN_14_16*,PCT_CACFP12*,PCT_CACFP17*,PCH_CACFP_12_17*,FDPIR12,FDPIR15,PCH_FDPIR_12_15,FOOD_BANKS18
01001,AL,Autauga,301432.0810690423,223185.67835820897,-25.95821998552012,18.90847619188084,16.50005631061468,-2.408419881266159,18.471487045288086,16.354677200317383,-11.459877967834473,84.02,86.898,0,1,0,0,0,1,1,1,68.22604311036457,63.12658956791882,-5.099453542445751,36.11672051696284,,6.88610662358643,,27.20632814147452,33.475353939882964,6.269025798408446,3.1603198495282,6.369005538426613,3.208685688898413,15.612932205200195,14.620244026184082,-6.358115196228027,172391.75,161530.296875,-6.300448417663574,2.947682281853598,2.543569610894678,-0.40411267095892,33.481211465729324,32.910875735643216,-0.570335730086107,3.318826903929844,3.309759047081447,-0.009067856848397,0.891238705211899,1.258762762457211,0.367524057245312,0,0,0,0
01003,AL,Baldwin,274394.50366265053,157623.13356797185,-42.55601644202071,18.90847619188084,16.50005631061468,-2.408419881266159,15.890722274780273,11.47935962677002,-27.760618209838867,84.02,86.898,0,1,0,0,0,1,1,1,68.22604311036457,63.12658956791882,-5.099453542445751,36.76193857624712,39.44909637580421,5.542339783419138,6.346383886715593,27.20632814147452,33.475353939882964,6.269025798408446,3.1603198495282,6.369005538426613,3.208685688898413,17.10749626159668,13.8738374710083,-18.90199851989746,122739.7109375,102920.0859375,-16.147687911987305,2.947682281853598,2.543569610894678,-0.40411267095892,33.481211465729324,32.910875735643216,-0.570335730086107,3.318826903929844,3.309759047081447,-0.009067856848397,0.891238705211899,1.258762762457211,0.367524057245312,0,0,0,0
01005,AL,Barbour,325496.5607655502,257032.07888888888,-21.03385722897857,18.90847619188084,16.50005631061468,-2.408419881266159,31.116222381591797,29.122146606445312,-6.40847635269165,84.02,86.898,0,1,0,0,0,1,1,1,68.22604311036457,63.12658956791882,-5.099453542445751,66.38896120801874,63.98508257858284,4.582140067690705,2.317527970165157,27.20632814147452,33.475353939882964,6.269025798408446,3.1603198495282,6.369005538426613,3.208685688898413,21.934051513671875,24.032283782958984,9.566095352172852,85699.46875,103414.921875,20.671602249145508,2.947682281853598,2.543569610894678,-0.40411267095892,33.481211465729324,32.910875735643216,-0.570335730086107,3.318826903929844,3.309759047081447,-0.009067856848397,0.891238705211899,1.258762762457211,0.367524057245312,0,0,0,0
01007,AL,Bibb,356444.032,227725.24513761466,-36.11192089264251,18.90847619188084,16.50005631061468,-2.408419881266159,22.435049057006836,17.557790756225586,-21.739459991455078,84.02,86.898,0,1,0,0,0,1,1,1,68.22604311036457,63.12658956791882,-5.099453542445751,53.502277904328025,52.25767609873571,9.253986332574032,9.060806742925948,27.20632814147452,33.475353939882964,6.269025798408446,3.1603198495282,6.369005538426613,3.208685688898413,21.48293685913086,22.081811904907227,2.787677764892578,81445.3984375,99703.796875,22.41796112060547,2.947682281853598,2.543569610894678,-0.40411267095892,33.481211465729324,32.910875735643216,-0.570335730086107,3.318826903929844,3.309759047081447,-0.009067856848397,0.891238705211899,1.258762762457211,0.367524057245312,0,0,0,0
01009,AL,Blount,229730.02263157893,142860.82556016598,-37.81360227815161,18.90847619188084,16.50005631061468,-2.408419881266159,20.27230453491211,12.377972602844238,-38.941463470458984,84.02,86.898,0,1,0,0,0,1,1,1,68.22604311036457,63.12658956791882,-5.099453542445751,43.93136026221922,46.624585428479726,8.097946592114143,7.895581469990372,27.20632814147452,33.475353939882964,6.269025798408446,3.1603198495282,6.369005538426613,3.208685688898413,17.110687255859375,13.860494613647461,-18.995101928710938,123098.5625,99651.7578125,-19.04718017578125,2.947682281853598,2.543569610894678,-0.40411267095892,33.481211465729324,32.910875735643216,-0.570335730086107,3.318826903929844,3.309759047081447,-0.009067856848397,0.891238705211899,1.258762762457211,0.367524057245312,0,0,0,0
01011,AL,Bullock,211588.91372093023,170993.92131147542,-19.18578421504471,18.90847619188084,16.50005631061468,-2.408419881266159,33.89244842529297,31.25101089477539,-7.79358720779419,84.02,86.898,0,1,0,0,0,1,1,1,68.22604311036457,63.12658956791882,-5.099453542445751,90.12032932235591,,0.12666244458518,,27.20632814147452,33.475353939882964,6.269025798408446,3.1603198495282,6.369005538426613,3.208685688898413,,,,260599.375,128019.328125,-50.87504577636719,2.947682281853598,2.543569610894678,-0.40411267095892,33.481211465729324,32.910875735643216,-0.570335730086107,3.318826903929844,3.309759047081447,-0.009067856848397,0.891238705211899,1.258762762457211,0.367524057245312,0,0,0,0
01013,AL,Butler,345604.8689908257,302939.2254180602,-12.345209052566359,18.90847619188084,16.50005631061468,-2.408419881266159,32.66789245605469,27.97814178466797,-14.355840682983398,84.02,86.898,0,1,0,0,0,1,1,1,68.22604311036457,63.12658956791882,-5.099453542445751,67.87410926365796,67.3365231259968,7.244655581947744,5.295055821371611,27.20632814147452,33.475353939882964,6.269025798408446,3.1603198495282,6.369005538426613,3.208685688898413,36.56119155883789,32.755916595458984,-10.40796184539795,190831.140625,164017.0625,-14.051206588745117,2.947682281853598,2.543569610894678,-0.40411267095892,33.481211465729324,32.910875735643216,-0.570335730086107,3.318826903929844,3.309759047081447,-0.009067856848397,0.891238705211899,1.258762762457211,0.367524057245312,0,0,0,0
01015,AL,Calhoun,315617.50259818736,235151.7624264706,-25.494701500809253,18.90847619188084,16.50005631061468,-2.408419881266159,29.975231170654297,22.04634666442871,-26.451454162597656,84.02,86.898,0,1,0,0,0,1,1,1,68.22604311036457,63.12658956791882,-5.099453542445751,50.98239209791712,52.74082252277118,7.096843461455873,6.127518630968811,27.20632814147452,33.475353939882964,6.269025798408446,3.1603198495282,6.369005538426613,3.208685688898413,22.09410285949707,20.889013290405273,-5.454349517822266,136979.953125,120130.625,-12.300580024719238,2.947682281853598,2.543569610894678,-0.40411267095892,33.481211465729324,32.910875735643216,-0.570335730086107,3.318826903929844,3.309759047081447,-0.009067856848397,0.891238705211899,1.258762762457211,0.367524057245312,0,0,0,0
01017,AL,Chambers,327935.78832116787,270507.9227102804,-17.511923875366968,18.90847619188084,16.50005631061468,-2.408419881266159,28.581974029541016,23.49489402770996,-17.79821014404297,84.02,86.898,0,1,0,0,0,1,1,1,68.22604311036457,63.12658956791882,-5.099453542445751,65.1300962917435,65.33101045296166,5.736529399713174,5.83623693379791,27.20632814147452,33.475353939882964,6.269025798408446,3.1603198495282,6.369005538426613,3.208685688898413,11.316189765930176,13.211095809936523,16.745088577270508,64181.65625,74358.65625,15.856555938720703,2.947682281853598,2.543569610894678,-0.40411267095892,33.481211465729324,32.910875735643216,-0.570335730086107,3.318826903929844,3.309759047081447,-0.009067856848397,0.891238705211899,1.258762762457211,0.367524057245312,0,0,0,0
01019,AL,Cherokee,242354.8712903226,174410.52911854102,-28.035063545469015,18.90847619188084,16.50005631061468,-2.408419881266159,27.422502517700195,16.684715270996094,-39.15684509277344,84.02,86.898,0,1,0,0,0,1,1,1,68.22604311036457,63.12658956791882,-5.099453542445751,50.82087723597157,53.38941118258288,9.629992648860574,9.797130133597229,27.20632814147452,33.475353939882964,6.269025798408446,3.1603198495282,6.369005538426613,3.208685688898413,24.97646141052246,18.51291275024414,-25.87856101989746,108206.3515625,119297.21875,10.249737739562988,2.947682281853598,2.543569610894678,-0.40411267095892,33.481211465729324,32.910875735643216,-0.570335730086107,3.318826903929844,3.309759047081447,-0.009067856848397,0.891238705211899,1.258762762457211,0.367524057245312,0,0,0,0
